PassengerId,Survived,Pclass,Gender,Age,Fare,Embarked,FamilySize
215,1,3,female,15.0,7.225,C,0
467,0,3,male,,7.8958,S,0
122,1,1,female,56.0,83.1583,C,1
615,1,2,female,25.0,26.0,S,1
21,0,3,male,33.0,7.8958,S,0
701,0,3,female,22.0,10.5167,S,0
72,0,2,male,28.0,10.5,S,0
107,0,3,male,25.0,7.05,S,0
271,1,1,female,19.0,30.0,S,0
436,0,3,female,,23.45,S,3
103,0,3,male,32.0,7.75,Q,0
